"","53ea7f0500e5790843000001","53ec1ba3adfd950841000000","53ecff906ce61cfb2e000004","53ed01cceab72a9241000000","53ed5839a9a0b1572a000000","53f12e1eee140fba78000001","53f29bcb6ce61ce921000000","53f330abee140fd373000003","53f37f54a9a0b13220000001","53f3c020eab72a0d71000002"
"M. B., 02723",1,0,0,0,0,0,0,0,0,0
"S. C., 53548",1,0,0,0,0,0,0,0,0,0
"H. B., 07648",1,0,0,0,0,0,0,0,0,0
"D. M., 48187",1,0,0,0,1,0,0,0,0,0
"S. S., 43221",1,0,0,0,0,0,0,0,0,0
"D. M., 77082 ",1,0,0,0,0,0,0,0,0,0
"J. M., 37832",1,0,0,0,0,0,0,0,0,0
"A. L., 48433",1,0,0,0,0,0,0,0,0,0
"M. K., 45506",1,0,0,0,0,0,0,0,0,0
"T. K., 66209",1,0,0,0,0,0,0,0,0,0
"A. N., 49799",1,0,0,0,0,0,0,0,0,0
"A. M., 97404",1,0,0,0,0,0,0,0,0,0
"A. C., 35773",1,0,0,0,0,0,0,0,0,0
"J. B., 21801",1,0,0,0,0,0,0,0,0,0
"C. Y., 32405",1,0,0,0,0,0,0,0,0,0
"J. B., 44864",1,0,0,0,0,0,0,0,0,0
"S. N., 33073",1,0,0,0,1,0,0,0,0,0
"L. T., 43612",1,0,0,0,0,0,0,0,0,0
"V. L., 93726",1,0,0,0,0,0,0,0,0,0
"N. W., 95073",1,0,0,0,0,0,0,0,0,0
"K. B., 21102",1,0,0,0,0,0,0,0,0,0
"J. R., 63136",1,0,0,0,0,0,0,0,0,0
"S. U., 11710",1,0,0,0,0,0,0,0,0,0
"J. A., 84119",1,0,0,0,0,0,0,0,0,0
"E. B., 19802",1,0,0,0,0,0,0,0,0,0
"A. W., 20735",1,0,0,0,0,0,0,0,0,0
"T. D., 12992",1,0,0,0,0,0,0,0,0,0
"K. B., 06351",1,0,0,0,0,0,0,0,0,0
"D. P., 42038",1,0,0,0,0,0,0,0,0,0
"S. S., 23112",1,0,0,0,0,0,0,0,0,0
"M. S., 15026",1,0,0,0,0,0,0,0,0,0
"S. L., 75075",1,0,0,0,0,0,0,0,0,0
"A. R., 18014",1,0,0,0,0,0,0,0,0,0
"W. F., 2065",1,0,0,0,0,0,0,0,0,0
"E. S., 22042",1,0,1,0,0,1,0,0,0,1
"S. P., S7N 2V9",1,0,0,0,0,0,0,0,0,0
"S. E., 15217",1,0,0,0,0,0,0,0,0,0
"N. S., 79821",1,0,0,0,0,0,0,0,0,0
"D. G., 01930",1,0,0,0,0,0,0,0,0,0
"R. J., 94536",1,0,0,0,0,0,0,0,0,0
"C. G., 38506",1,0,0,0,0,0,0,0,0,0
"D. S., 71701",1,0,0,0,0,0,0,0,0,0
"E. L., 90031",1,1,0,0,0,0,1,0,0,0
"A. B., 96821",1,0,0,0,0,0,0,0,0,0
"A. A., 54891",1,0,0,0,0,0,0,0,0,0
"S. C., 29904",1,0,1,0,0,0,0,0,0,0
"H. H., 34229",1,0,0,0,0,0,0,0,0,0
"C. D., 41042",1,0,0,0,0,0,0,0,0,0
"L. T., 32724",1,0,0,0,0,0,0,0,0,0
"C. O., 87104",1,0,0,0,0,0,0,0,0,0
"T. C., 77092",1,0,0,0,0,0,0,0,0,0
"E. M., 40503",1,0,1,0,0,0,0,0,0,0
"A. S., 63301",1,0,0,0,1,1,0,0,0,1
"B. S., 13492",1,0,0,0,0,0,0,0,0,0
"S. L., 25701",1,0,0,0,0,0,0,0,0,0
"P. S., 80219",1,0,0,0,0,0,0,0,0,0
"A. B., 33545",1,0,0,0,0,0,0,0,0,0
"T. M., 55009",1,0,0,0,0,0,0,0,0,0
"R. Z., 2607",1,0,0,0,0,0,0,0,0,0
"S. B., V0N 1T0",1,0,0,0,0,0,0,0,0,0
"J. B., 32536",1,0,0,0,0,0,0,0,0,0
"M. S., 53225",1,0,0,0,0,0,0,0,0,0
"D. B., 19134",1,0,0,0,0,0,0,0,0,0
"C. L., 49878",1,0,0,0,0,0,0,0,0,0
"M. S., 38242",1,0,0,0,0,0,0,0,0,0
"R. P., 76182",1,0,0,0,0,0,0,0,0,0
"K. B., 77040",1,0,0,0,0,0,0,0,0,0
"M. S., 77381",1,0,0,0,0,0,0,0,0,0
"J. B., 71639",1,0,0,0,0,0,0,0,0,0
"O. W., 11581",1,0,0,0,0,0,0,0,0,0
"G. K., 65806",1,0,0,0,0,0,0,0,0,0
"D. S., 31088",1,0,0,0,0,0,0,0,0,0
"B. S., 52003",1,0,0,0,0,0,0,0,0,0
"M. D., 32825",1,0,0,0,0,0,0,0,0,0
"T. C., 48033",1,0,0,0,0,0,0,0,0,0
"J. M., 17745",1,0,0,0,0,0,0,0,0,0
"H. C., 75074",1,0,0,0,0,0,0,0,0,0
"K. W., 19148",1,0,0,0,0,0,0,0,0,0
"M. L., 53216",1,0,0,0,0,0,0,0,0,0
"C. N., 78133",1,0,0,0,0,0,0,0,0,0
"R. B., 63147",1,0,0,0,0,0,0,0,0,0
"N. S., 28214",1,0,0,0,0,0,0,0,0,0
"L. C., 84404",1,0,0,0,0,0,0,0,0,0
"R. F., 33130",1,0,0,0,0,0,0,0,0,0
"S. D., 84119",1,0,0,0,0,0,0,0,0,0
"A. C., 02149",1,0,0,0,0,0,0,0,0,0
"P. S., 02492",1,0,0,0,0,0,0,0,0,0
"J. V., 32724",1,0,0,0,0,0,0,0,0,0
"T. V., 20792",1,0,0,0,1,0,0,0,0,0
"K. A., 33176",1,0,0,0,0,0,0,0,0,0
"A. M., 10552",1,0,0,0,0,0,0,0,0,0
"A. T., 97051",1,0,0,0,0,0,0,0,0,0
"J. S., 28213",1,0,0,0,0,0,0,0,0,0
"K. B., 95757",1,0,0,0,0,0,0,0,0,0
"T. P., 91776",1,0,0,0,0,0,0,0,0,0
"S. B., 31088",1,0,0,0,0,0,0,0,0,0
"A. B., 60540",1,0,0,0,0,0,0,0,0,0
"T. R., 29334",1,0,0,0,0,0,0,0,0,0
"C. H., 65616",1,0,0,0,0,0,0,0,0,0
"A. L., 02155",1,0,0,0,0,0,0,0,0,0
"R. N., 58271",1,0,0,0,0,0,0,0,0,0
"C. M., 75218",1,0,0,0,0,0,0,0,0,0
"K. T., 59718",1,0,0,0,0,0,0,0,0,0
"K. T., 95060",1,0,0,0,0,0,0,0,0,0
"K. F., 21012",1,0,0,0,0,0,0,0,0,0
"B. H., 02184",1,0,0,0,0,0,0,0,0,0
"K. W., 61944",1,0,0,0,0,0,0,0,0,0
"A. R., 75961",1,0,0,0,0,0,0,0,0,0
"T. C., 93004",1,0,0,0,0,0,0,0,0,0
"I. D., 07601",1,0,1,0,0,0,0,0,0,0
"A. A., V3R 8T3",1,0,0,0,0,0,0,0,0,0
"M. M., 11372",1,0,0,0,0,0,0,0,0,0
"W. Z., 43081",1,0,0,0,0,0,0,0,0,0
"R. I., 77662",1,0,0,0,0,0,0,0,0,0
"M. P., 91351",1,0,0,0,0,0,0,0,0,0
"J. L., 35226",1,0,0,0,1,0,0,0,0,0
"S. C., 78751",1,0,0,0,0,0,0,0,0,0
"V. R., 92801",1,0,0,0,0,0,0,0,0,0
"C. D., 98027-5395",1,0,0,0,0,0,0,0,0,0
"G. S., 95843",1,0,0,0,0,0,0,0,0,0
"D. W., BB1 9QU",1,0,0,0,0,0,0,0,0,0
"L. U., 33140",1,0,0,0,0,0,0,0,0,0
"P. R., 33414",1,0,0,0,0,0,0,0,0,0
"J. R., 83703",1,0,0,0,0,1,0,0,0,1
"E. K., 89122",1,0,0,0,0,0,0,0,0,0
"D. H., 18902",1,0,0,0,0,0,0,0,0,0
"L. L., 68147",1,0,1,0,1,0,0,0,0,0
"J. M., 36801",1,0,0,0,0,0,0,0,0,0
"J. L., 36609",1,0,0,0,0,1,0,0,0,0
"R. M., 85704",1,0,0,0,0,0,0,0,0,0
"E. S., 98203",1,0,0,0,0,0,0,0,0,0
"J. C., 87501",1,0,1,0,1,0,0,0,0,0
"D. G., 92078",1,0,0,0,0,0,0,0,0,0
"W. P., 94306",1,0,0,0,0,0,0,0,0,0
"J. P., 84651",1,0,0,0,0,0,0,0,0,0
"D. K., 32935",1,0,1,1,1,0,0,0,1,1
"A. S., 94553",1,0,0,0,0,0,0,0,0,0
"D. C., 14218",1,0,0,0,0,0,0,0,0,0
"D. A., 10040",1,0,0,0,0,0,0,0,0,0
"P. G., 78259",1,0,0,0,1,0,0,1,0,0
"S. N., 54220",1,0,0,0,0,0,0,0,0,0
"K. B., 31321",1,0,0,0,0,0,0,0,0,0
"A. M., 94709",1,0,0,0,0,0,0,0,0,0
"G. F., 22701",1,0,0,0,0,0,0,0,0,0
"P. N., 60175",1,0,0,0,1,0,1,0,0,0
"T. P., 10469",1,1,1,0,1,1,0,0,0,0
