length,confidence,support,rule
2,0.42,0.00,8 -> 3
2,0.40,0.00,4 -> 3
2,0.40,0.00,12 -> 3
2,0.39,0.00,9 -> 3
2,0.35,0.01,5 -> 3
2,0.32,0.01,2 -> 3
2,0.31,0.00,7 -> 3
2,0.22,0.01,1 -> 3
2,0.21,0.00,8 -> 12
2,0.18,0.00,8 -> 5
2,0.16,0.00,12 -> 5
2,0.16,0.00,7 -> 5
2,0.13,0.00,5 -> 7
2,0.12,0.00,12 -> 8
2,0.11,0.00,12 -> 7
2,0.10,0.00,5 -> 12
2,0.09,0.00,7 -> 12
2,0.07,0.00,5 -> 8
2,0.01,0.01,3 -> 2
2,0.01,0.01,3 -> 1
2,0.01,0.01,3 -> 5
2,0.00,0.00,3 -> 12
2,0.00,0.00,3 -> 7
2,0.00,0.00,3 -> 8
2,0.00,0.00,3 -> 4
2,0.00,0.00,3 -> 9
3,0.68,0.00,5 7 -> 3
3,0.34,0.00,7 3 -> 5
3,0.25,0.00,5 3 -> 7
3,0.11,0.00,7 -> 5 3
3,0.09,0.00,5 -> 7 3
3,0.00,0.00,3 -> 5 7
