length,confidence,support,rule
2,0.48,0.06,14 -> 16
2,0.42,0.00,8 -> 3
2,0.40,0.00,12 -> 3
2,0.40,0.02,20 -> 16
2,0.35,0.00,5 -> 3
2,0.33,0.02,18 -> 16
2,0.32,0.00,2 -> 3
2,0.31,0.00,7 -> 3
2,0.27,0.01,20 -> 14
2,0.23,0.01,20 -> 3
2,0.22,0.00,1 -> 3
2,0.20,0.06,16 -> 14
2,0.20,0.01,18 -> 14
2,0.19,0.01,20 -> 18
2,0.19,0.01,18 -> 3
2,0.18,0.00,2 -> 16
2,0.16,0.02,14 -> 3
2,0.15,0.04,16 -> 3
2,0.12,0.01,18 -> 20
2,0.12,0.01,14 -> 18
2,0.11,0.01,14 -> 20
2,0.10,0.04,3 -> 16
2,0.08,0.02,16 -> 18
2,0.07,0.02,16 -> 20
2,0.05,0.02,3 -> 14
2,0.04,0.01,25 -> 3
2,0.03,0.01,3 -> 18
2,0.03,0.01,3 -> 20
2,0.03,0.01,25 -> 16
2,0.02,0.00,14 -> 25
2,0.02,0.01,16 -> 25
2,0.02,0.00,18 -> 25
2,0.02,0.01,3 -> 25
2,0.01,0.00,25 -> 14
2,0.01,0.00,3 -> 2
2,0.01,0.00,25 -> 18
2,0.01,0.00,3 -> 1
2,0.01,0.00,3 -> 5
2,0.01,0.00,16 -> 2
2,0.00,0.00,3 -> 12
2,0.00,0.00,3 -> 7
2,0.00,0.00,3 -> 8
3,0.64,0.01,14 18 -> 16
3,0.62,0.01,14 20 -> 16
3,0.58,0.01,14 3 -> 16
3,0.57,0.01,20 18 -> 16
3,0.49,0.01,20 3 -> 16
3,0.47,0.00,25 14 -> 16
3,0.45,0.01,18 3 -> 16
3,0.44,0.00,20 18 -> 14
3,0.43,0.01,16 20 -> 14
3,0.39,0.01,16 18 -> 14
3,0.31,0.00,20 18 -> 3
3,0.31,0.00,20 3 -> 14
3,0.30,0.00,14 20 -> 18
3,0.29,0.01,16 20 -> 3
3,0.27,0.00,14 18 -> 20
3,0.27,0.01,16 20 -> 18
3,0.26,0.00,14 20 -> 3
3,0.26,0.00,18 3 -> 14
3,0.26,0.01,16 3 -> 14
3,0.25,0.01,16 18 -> 3
3,0.25,0.00,20 3 -> 18
3,0.24,0.00,14 18 -> 3
3,0.22,0.01,16 18 -> 20
3,0.21,0.00,18 3 -> 20
3,0.20,0.00,25 16 -> 14
3,0.19,0.01,14 16 -> 3
3,0.19,0.00,14 3 -> 18
3,0.19,0.00,14 3 -> 20
3,0.17,0.01,20 -> 14 16
3,0.16,0.01,14 16 -> 18
3,0.15,0.01,14 16 -> 20
3,0.14,0.01,16 3 -> 18
3,0.13,0.01,16 3 -> 20
3,0.13,0.01,18 -> 14 16
3,0.11,0.01,20 -> 16 3
3,0.11,0.01,20 -> 16 18
3,0.09,0.01,14 -> 16 3
3,0.08,0.01,18 -> 16 3
3,0.08,0.00,20 -> 14 18
3,0.08,0.01,14 -> 16 18
3,0.07,0.01,18 -> 16 20
3,0.07,0.00,20 -> 14 3
3,0.07,0.01,14 -> 16 20
3,0.06,0.00,20 -> 18 3
3,0.05,0.00,18 -> 14 20
3,0.05,0.00,18 -> 14 3
3,0.04,0.00,18 -> 20 3
3,0.04,0.01,16 -> 14 3
3,0.03,0.00,14 -> 20 18
3,0.03,0.01,16 -> 14 18
3,0.03,0.00,14 -> 18 3
3,0.03,0.00,14 -> 20 3
3,0.03,0.01,16 -> 14 20
3,0.03,0.01,3 -> 14 16
3,0.02,0.01,16 -> 18 3
3,0.02,0.01,16 -> 20 3
3,0.02,0.00,14 16 -> 25
3,0.02,0.01,16 -> 20 18
3,0.01,0.01,3 -> 16 18
3,0.01,0.01,3 -> 16 20
3,0.01,0.00,14 -> 25 16
3,0.01,0.00,3 -> 14 18
3,0.01,0.00,3 -> 14 20
3,0.01,0.00,3 -> 20 18
3,0.01,0.00,25 -> 14 16
3,0.00,0.00,16 -> 25 14
4,0.71,0.00,14 20 18 -> 16
4,0.71,0.00,14 18 3 -> 16
4,0.70,0.00,14 20 3 -> 16
4,0.64,0.00,20 18 3 -> 16
4,0.55,0.00,16 20 18 -> 14
4,0.45,0.00,20 18 3 -> 14
4,0.44,0.00,16 20 3 -> 14
4,0.41,0.00,16 18 3 -> 14
4,0.36,0.00,14 20 3 -> 18
4,0.36,0.00,14 18 3 -> 20
4,0.35,0.00,16 20 18 -> 3
4,0.34,0.00,14 16 20 -> 18
4,0.33,0.00,16 20 3 -> 18
4,0.32,0.00,14 20 18 -> 3
4,0.31,0.00,20 18 -> 14 16
4,0.30,0.00,14 16 18 -> 20
4,0.30,0.00,16 18 3 -> 20
4,0.30,0.00,14 16 20 -> 3
4,0.27,0.00,14 16 18 -> 3
4,0.23,0.00,14 16 3 -> 18
4,0.23,0.00,14 16 3 -> 20
4,0.22,0.00,20 3 -> 14 16
4,0.22,0.00,14 20 -> 16 18
4,0.20,0.00,20 18 -> 16 3
4,0.20,0.00,14 18 -> 16 20
4,0.18,0.00,14 20 -> 16 3
4,0.18,0.00,18 3 -> 14 16
4,0.17,0.00,14 18 -> 16 3
4,0.16,0.00,20 3 -> 16 18
4,0.15,0.00,16 20 -> 14 18
4,0.14,0.00,20 18 -> 14 3
4,0.13,0.00,14 3 -> 16 18
4,0.13,0.00,18 3 -> 16 20
4,0.13,0.00,14 3 -> 16 20
4,0.13,0.00,16 20 -> 14 3
4,0.12,0.00,16 18 -> 14 20
